Delta.M1,Delta.Inter,Delta.COV,Delta.gravi,Ord.M1,Error
0.8,0.92,0.92,0.94,1,0.794638885
0.8,0.92,0.92,0.94,2,1.391530035
0.8,0.92,0.92,0.95,1,0.791378319
0.8,0.92,0.92,0.95,2,1.375320131
0.8,0.92,0.92,0.96,1,0.789180317
0.8,0.92,0.92,0.96,2,1.364118371
0.8,0.92,0.92,0.97,1,0.787204717
0.8,0.92,0.92,0.97,2,1.356024375
0.8,0.92,0.92,0.98,1,0.785487254
0.8,0.92,0.92,0.98,2,1.34998856
0.8,0.92,0.92,0.99,1,0.783869764
0.8,0.92,0.92,0.99,2,1.345379523
0.8,0.92,0.92,1,1,0.78229027
0.8,0.92,0.92,1,2,1.341705287
0.8,0.92,0.93,0.9,1,0.821849532
0.8,0.92,0.93,0.9,2,1.670096304
0.8,0.92,0.93,0.91,1,0.811582046
0.8,0.92,0.93,0.91,2,1.52782792
0.8,0.92,0.93,0.92,1,0.804176135
0.8,0.92,0.93,0.92,2,1.456479146
0.8,0.92,0.93,0.93,1,0.798515441
0.8,0.92,0.93,0.93,2,1.415831631
0.8,0.92,0.93,0.94,1,0.794457088
0.8,0.92,0.93,0.94,2,1.390961827
0.8,0.92,0.93,0.95,1,0.791220141
0.8,0.92,0.93,0.95,2,1.374852618
0.8,0.92,0.93,0.96,1,0.789036356
0.8,0.92,0.93,0.96,2,1.36371748
0.8,0.92,0.93,0.97,1,0.787071576
0.8,0.92,0.93,0.97,2,1.3556693
0.8,0.92,0.93,0.98,1,0.785362284
0.8,0.92,0.93,0.98,2,1.34966641
0.8,0.92,0.93,0.99,1,0.783750981
0.8,0.92,0.93,0.99,2,1.345082993
0.8,0.92,0.93,1,1,0.782176252
0.8,0.92,0.93,1,2,1.341428322
0.8,0.92,0.94,0.9,1,0.821488196
0.8,0.92,0.94,0.9,2,1.667926071
0.8,0.92,0.94,0.91,1,0.811280991
0.8,0.92,0.94,0.91,2,1.526517887
0.8,0.92,0.94,0.92,1,0.803922817
0.8,0.92,0.94,0.92,2,1.455582005
0.8,0.92,0.94,0.93,1,0.798298662
