"Ganul";"Delta.M1";"Delta.Inter";"Delta.COV";"Indic_COVID";"Usa_Vel";"MSE"
1;0,99;0,89;0,94;8;0;76,8590962644732
1;0,97;0,9;0,99;8;0;76,8600641534896
1;0,98;0,82;0,94;8;0;76,8605631432212
1;0,98;0,88;0,88;8;0;76,8609165541533
1;0,98;0,83;0,9;8;0;76,8618734013519
1;0,95;0,91;0,99;8;0;76,8625904522085
1;0,96;0,87;0,93;8;0;76,8626211453308
1;0,9;0,99;0,92;8;0;76,8630816060697
1;1;0,89;0,94;8;0;76,8633379074118
1;0,91;1;0,94;8;0;76,8638159943834
1;0,96;0,86;0,96;8;0;76,8638816506965
1;0,9;1;0,89;8;0;76,8639307958843
1;0,95;0,9;0,97;8;0;76,8639730306256
1;0,97;0,83;0,99;8;0;76,8641471734167
1;0,96;0,9;0,95;8;0;76,8642419122587
1;0,98;0,87;0,86;8;0;76,8644063254065
1;0,99;0,82;0,88;8;0;76,8649768667932
1;0,98;0,85;0,86;8;0;76,8657045926067
1;0,99;0,8;0,97;8;0;76,8660903569708
1;0,97;0,87;0,88;8;0;76,866287874231
1;0,96;0,89;0,92;8;0;76,8664515804049
1;0,95;0,89;0,98;8;0;76,8665926701091
1;1;0,83;0,83;8;0;76,8674030738077
1;0,91;0,99;0,93;8;0;76,8685496553121
1;0,91;0,97;0,99;8;0;76,8690833869082
